"""Country or Area"",""Year"",""Value"",""Value Footnotes"",""Unit"""
"Albania,""2014"",""0.0"","""",""tonnes"""
"Andorra,""2021"",""0.0"","""",""tonnes"""
"Andorra,""2020"",""0.0"","""",""tonnes"""
"Andorra,""2019"",""0.0"","""",""tonnes"""
"Andorra,""2018"",""0.0"","""",""tonnes"""
"Andorra,""2017"",""0.0"","""",""tonnes"""
"Andorra,""2016"",""0.0"","""",""tonnes"""
"Andorra,""2015"",""0.0"","""",""tonnes"""
"Andorra,""2014"",""0.0"","""",""tonnes"""
"Andorra,""2013"",""0.0"","""",""tonnes"""
"Andorra,""2012"",""0.0"","""",""tonnes"""
"Andorra,""2011"",""0.0"","""",""tonnes"""
"Andorra,""2010"",""0.0"","""",""tonnes"""
"Andorra,""2009"",""0.0"","""",""tonnes"""
"Andorra,""2008"",""0.0"","""",""tonnes"""
"Andorra,""2007"",""0.0"","""",""tonnes"""
"Andorra,""2006"",""0.0"","""",""tonnes"""
"Andorra,""2005"",""0.0"","""",""tonnes"""
"Andorra,""2004"",""426.0"","""",""tonnes"""
"Andorra,""2003"",""486.8"","""",""tonnes"""
"Andorra,""2002"",""313.4"","""",""tonnes"""
"Argentina,""2019"",""771060.0"","""",""tonnes"""
"Argentina,""2018"",""779237.0"","""",""tonnes"""
"Argentina,""2017"",""1002864.0"","""",""tonnes"""
"Argentina,""2016"",""731908.0"","""",""tonnes"""
"Armenia,""2021"",""666241.8"","""",""tonnes"""
"Armenia,""2020"",""21587945.0"","""",""tonnes"""
"Armenia,""2019"",""570537.0"","""",""tonnes"""
"Armenia,""2018"",""510858.5"","""",""tonnes"""
"Armenia,""2017"",""537813.7"","""",""tonnes"""
"Armenia,""2016"",""615470.6"","""",""tonnes"""
"Armenia,""2015"",""555076.6"","""",""tonnes"""
"Armenia,""2014"",""576419.4"","""",""tonnes"""
"Armenia,""2013"",""579049.8"","""",""tonnes"""
"Armenia,""2012"",""470505.7"","""",""tonnes"""
"Armenia,""2011"",""462895.8"","""",""tonnes"""
"Armenia,""2010"",""435397.8"","""",""tonnes"""
"Armenia,""2009"",""441023.6"","""",""tonnes"""
"Armenia,""2008"",""437258.5"","""",""tonnes"""
"Armenia,""2007"",""362275.0"","""",""tonnes"""
"Armenia,""2006"",""352279.0"","""",""tonnes"""
"Armenia,""2005"",""346325.0"","""",""tonnes"""
"Armenia,""2004"",""351400.0"","""",""tonnes"""
"Armenia,""2003"",""344095.0"","""",""tonnes"""
"Armenia,""2002"",""377900.0"","""",""tonnes"""
"Armenia,""2001"",""375500.0"","""",""tonnes"""
"Armenia,""2000"",""381578.0"","""",""tonnes"""
"Armenia,""1999"",""241596.0"","""",""tonnes"""
"Armenia,""1998"",""286607.0"","""",""tonnes"""
"Austria,""2016"",""447240.0"","""",""tonnes"""
"Austria,""2014"",""440136.0"","""",""tonnes"""
"Austria,""2012"",""338860.0"","""",""tonnes"""
"Austria,""2010"",""401082.0"","""",""tonnes"""
"Austria,""2008"",""395221.0"","""",""tonnes"""
"Austria,""2006"",""335042.0"","""",""tonnes"""
"Austria,""2004"",""861967.0"","""",""tonnes"""
"Azerbaijan,""2021"",""299042.0"","""",""tonnes"""
"Azerbaijan,""2020"",""296370.0"","""",""tonnes"""
"Azerbaijan,""2019"",""254450.0"","""",""tonnes"""
"Azerbaijan,""2018"",""283600.0"","""",""tonnes"""
"Azerbaijan,""2017"",""216837.0"","""",""tonnes"""
"Azerbaijan,""2016"",""707768.0"","""",""tonnes"""
"Azerbaijan,""2015"",""382998.0"","""",""tonnes"""
"Azerbaijan,""2014"",""529106.5"","""",""tonnes"""
"Azerbaijan,""2013"",""152446.0"","""",""tonnes"""
"Azerbaijan,""2012"",""205211.2"","""",""tonnes"""
"Azerbaijan,""2011"",""138281.5"","""",""tonnes"""
"Azerbaijan,""2010"",""151291.9"","""",""tonnes"""
"Azerbaijan,""2009"",""173658.1"","""",""tonnes"""
"Azerbaijan,""2008"",""69180.0"","""",""tonnes"""
"Azerbaijan,""2007"",""7677.0"","""",""tonnes"""
"Azerbaijan,""2006"",""1435482.0"","""",""tonnes"""
"Azerbaijan,""2005"",""5571.0"","""",""tonnes"""
"Azerbaijan,""2004"",""105165.0"","""",""tonnes"""
"Azerbaijan,""2003"",""11492.0"","""",""tonnes"""
"Azerbaijan,""2002"",""3342.0"","""",""tonnes"""
"Azerbaijan,""2001"",""4927.0"","""",""tonnes"""
"Azerbaijan,""2000"",""26783.0"","""",""tonnes"""
"Azerbaijan,""1999"",""13030.0"","""",""tonnes"""
"Azerbaijan,""1998"",""33922.0"","""",""tonnes"""
"Azerbaijan,""1997"",""36097.0"","""",""tonnes"""
"Azerbaijan,""1996"",""18024.0"","""",""tonnes"""
"Azerbaijan,""1995"",""25434.0"","""",""tonnes"""
"Bahrain,""2019"",""79652.9"","""",""tonnes"""
"Bahrain,""2018"",""46701.8"","""",""tonnes"""
"Bahrain,""2017"",""7397.0"","""",""tonnes"""
"Bahrain,""2016"",""9636.0"","""",""tonnes"""
"Bahrain,""2015"",""9939.2"","""",""tonnes"""
"Bahrain,""2014"",""56504.0"","""",""tonnes"""
"Bahrain,""2013"",""40447.9"","""",""tonnes"""
"Bahrain,""2012"",""38085.0"","""",""tonnes"""
"Bahrain,""2011"",""32023.1"","""",""tonnes"""
"Bahrain,""2010"",""31507.0"","""",""tonnes"""
"Bangladesh,""2021"",""11956.3"","""",""tonnes"""
"Bangladesh,""2020"",""10813.3"","""",""tonnes"""
"Bangladesh,""2019"",""10127.4"","""",""tonnes"""
"Bangladesh,""2012"",""28946.0"","""",""tonnes"""
"Bangladesh,""2007"",""19920.0"","""",""tonnes"""
"Bangladesh,""2005"",""75920.0"",""1"",""tonnes"""
"Bangladesh,""2004"",""73985.0"",""1"",""tonnes"""
"Belarus,""2021"",""1664040.0"","""",""tonnes"""
"Belarus,""2020"",""1911507.0"","""",""tonnes"""
"Belarus,""2019"",""1712710.0"","""",""tonnes"""
"Belarus,""2018"",""2194923.0"","""",""tonnes"""
"Belarus,""2017"",""1208420.0"","""",""tonnes"""
"Belarus,""2016"",""1351350.0"","""",""tonnes"""
"Belarus,""2015"",""1013570.0"","""",""tonnes"""
"Belarus,""2014"",""1455060.0"","""",""tonnes"""
"Belarus,""2013"",""1237640.0"","""",""tonnes"""
"Belarus,""2012"",""1477060.0"","""",""tonnes"""
"Belarus,""2011"",""968400.0"","""",""tonnes"""
"Belarus,""2010"",""957500.0"","""",""tonnes"""
"Belarus,""2009"",""809800.0"","""",""tonnes"""
"Belarus,""2008"",""537900.0"","""",""tonnes"""
"Belarus,""2007"",""420400.0"","""",""tonnes"""
"Belarus,""2006"",""323900.0"","""",""tonnes"""
"Belarus,""2005"",""296800.0"","""",""tonnes"""
"Belgium,""2016"",""2449731.0"","""",""tonnes"""
"Belgium,""2014"",""2101500.0"","""",""tonnes"""
"Belgium,""2012"",""1703615.0"","""",""tonnes"""
"Belgium,""2010"",""3487665.0"","""",""tonnes"""
